lifetime_s,ctau_m,BR_limit,mean_event_decay_prob,mean_single_particle_decay_prob
3.1622776601683795e-10,0.09480269926203672,66.19088221801404,7.553910497115623e-14,5.002589664569611e-12
5.796393953384974e-10,0.17377151908216187,0.02929201133705865,1.706950042612565e-10,1.1304304918275127e-08
1.062467830894043e-09,0.3185198425696535,0.00029025417914007993,1.7226280823288144e-08,1.1408132995560466e-06
1.947483039908753e-09,0.5838407274475572,1.3674402034344233e-05,3.6564670158462097e-07,2.421501334997522e-05
3.5696988468260627e-09,1.0701687916097509,1.6211369395908162e-06,3.084255177888937e-06,0.00020425530979396964
6.543189129712969e-09,1.9615987523555318,2.764263059203418e-07,1.8088003539868807e-05,0.001197881029130383
1.1993539462092356e-08,3.5955726754606654,6.14645918423162e-08,8.134764829850667e-05,0.005387261476722296
2.198392648862289e-08,6.590615358515565,2.215533481114645e-08,0.00022567927962363618,0.01494564765719445
4.0296113202003956e-08,12.080470824675016,1.2987805535436266e-08,0.00038497650633572165,0.02549513286991534
7.386199822079359e-08,22.143269999403337,1.1068195782074837e-08,0.0004517448099443271,0.029916874830750142
1.3538761800225447e-07,40.588186783660916,1.2325428812478172e-08,0.0004056653992385268,0.02686525822771701
2.481628922836824e-07,74.39736346211437,1.6480425457725457e-08,0.0003033902257454265,0.020092067930160693
4.5487779470037777e-07,136.36893216284562,2.486651777375083e-08,0.00020107359001741748,0.013316131789232947
8.337822234717883e-07,249.96162221131272,4.055947827857609e-08,0.00012327574742599802,0.008163956783178676
1.5283067326587688e-06,458.17483196172117,6.946026904872806e-08,7.19835967881492e-05,0.004767125615109218
2.80135676119887e-06,839.8256291747282,1.2249520321082908e-07,4.081792485697905e-05,0.0027031738315880178
5.134832907437549e-06,1539.3841787399892,2.1973573601987293e-07,2.2754605557412834e-05,0.0015069275203584665
9.412049672680671e-06,2821.661506191034,3.979899743630694e-07,1.2563130536144388e-05,0.0008319953997446618
1.725210549942039e-05,5172.051113346557,7.247339082266442e-07,6.899083847524853e-06,0.00045689297003475925
3.1622776601683795e-05,9480.269926203671,1.323653127777241e-06,3.777424685571744e-06,0.0002501605752034263
